time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-14T15:20:03.082Z,-28.7483,-176.8451,10,4.9,mb,,143,1.071,1.06,us,us6000hl58,2022-05-14T16:03:25.040Z,"Kermadec Islands region",earthquake,7.9,1.9,0.051,120,reviewed,us,us
2022-05-14T12:22:56.875Z,-28.7118,-176.6856,10,5.3,mww,,64,1.212,0.7,us,us6000hl40,2022-05-14T13:09:58.040Z,"Kermadec Islands region",earthquake,10.6,1.9,0.086,13,reviewed,us,us
2022-05-14T12:21:50.466Z,-29.4059,-176.1457,10,4.8,mb,,138,1.556,1.09,us,us6000hl3y,2022-05-14T13:02:20.040Z,"Kermadec Islands region",earthquake,11.1,1.9,0.067,71,reviewed,us,us
2022-05-14T11:47:15.347Z,-23.6183,-66.8319,216.51,4.7,mb,,108,1.404,0.79,us,us6000hl3s,2022-05-14T12:09:18.040Z,"84 km NW of San Antonio de los Cobres, Argentina",earthquake,5.8,10.6,0.208,8,reviewed,us,us
2022-05-14T10:48:32.679Z,34.6635,140.6304,69.32,4.7,mb,,132,1.687,0.88,us,us6000hl3i,2022-05-16T16:33:50.272Z,"60 km SSE of Katsuura, Japan",earthquake,7,7.1,0.037,223,reviewed,us,us
2022-05-14T10:05:49.972Z,23.9507,122.5835,23.81,4.5,mb,,92,0.645,0.7,us,us6000hl3b,2022-05-14T10:34:02.040Z,"71 km SW of Yonakuni, Japan",earthquake,5,5.1,0.074,54,reviewed,us,us
2022-05-14T02:25:19.606Z,-3.1708,139.7219,69.78,5.1,mww,,42,7.466,1.24,us,us6000hl1d,2022-05-17T16:11:06.040Z,"119 km WSW of Abepura, Indonesia",earthquake,10.8,5.2,0.08,15,reviewed,us,us
2022-05-13T17:16:23.961Z,-21.4654,-178.823,564.54,4.5,mb,,80,4.729,0.81,us,us6000hky8,2022-05-14T19:49:08.269Z,"Fiji region",earthquake,9.5,6.7,0.067,71,reviewed,us,us
2022-05-13T15:47:27.058Z,40.2301,142.7439,42.47,4.6,mb,,134,1.396,0.8,us,us6000hkxr,2022-05-13T17:15:04.040Z,"94 km NE of Miyako, Japan",earthquake,7.4,7.1,0.046,142,reviewed,us,us
2022-05-13T15:26:11.349Z,51.1305,-178.1684,10,4.5,mb,,179,0.796,1.19,us,us6000hkxm,2022-05-13T19:21:05.320Z,"134 km SW of Adak, Alaska",earthquake,7.2,2,0.053,102,reviewed,us,us
2022-05-13T07:31:53.410Z,34.1979,26.1568,10,4.6,mb,,65,1.507,0.79,us,us6000hksp,2022-05-13T23:09:00.483Z,"97 km SSE of Ierápetra, Greece",earthquake,7.8,1.9,0.058,89,reviewed,us,us
2022-05-13T03:23:12.610Z,-56.3512,-27.6764,10,5.3,mww,,73,5.441,0.87,us,us6000hkrd,2022-05-13T05:02:22.040Z,"South Sandwich Islands region",earthquake,6.8,1.8,0.098,10,reviewed,us,us
2022-05-13T00:56:21.551Z,-23.3037,179.9833,531.02,4.8,mb,,143,5.819,0.98,us,us6000hkqs,2022-05-13T01:25:10.040Z,"south of the Fiji Islands",earthquake,12.2,6.1,0.084,44,reviewed,us,us
2022-05-12T23:16:51.024Z,20.3365,120.8918,10,4.5,mb,,110,2.475,0.72,us,us6000hkqe,2022-05-12T23:55:11.040Z,"113 km W of Basco, Philippines",earthquake,10.3,1.9,0.085,41,reviewed,us,us
2022-05-12T21:55:48.723Z,-12.3599,-76.89,55.86,5.4,mww,,65,0.373,0.99,us,us6000hkpv,2022-05-15T01:43:54.142Z,"near the coast of central Peru",earthquake,7.8,4.9,0.05,38,reviewed,us,us
2022-05-12T21:23:31.589Z,4.0221,-76.4904,88.76,5,mww,,52,2.312,1.01,us,us6000hkph,2022-05-14T13:53:40.605Z,"10 km N of Darien, Colombia",earthquake,6.4,5.9,0.086,13,reviewed,us,us
2022-05-12T16:52:59.579Z,-6.5,-80.7057,46.61,4.8,mb,,110,3,0.81,us,us6000hkmc,2022-05-12T22:20:54.286Z,"76 km W of Mórrope, Peru",earthquake,4.1,6.9,0.032,305,reviewed,us,us
2022-05-12T16:14:30.707Z,6.1692,126.8951,65.34,4.6,mb,,45,1.584,0.75,us,us6000hkm4,2022-05-13T16:01:48.040Z,"82 km ESE of Pondaguitan, Philippines",earthquake,6.9,5.2,0.054,108,reviewed,us,us
2022-05-12T10:59:11.705Z,-21.8902,-178.8281,553.69,4.7,mb,,67,5.062,0.94,us,us6000hkjg,2022-05-16T14:12:39.210Z,"Fiji region",earthquake,11.3,7.2,0.038,209,reviewed,us,us
2022-05-12T10:27:44.687Z,38.0517,66.9753,29.93,5.3,mww,,28,1.709,0.88,us,us6000hkj2,2022-05-14T23:41:12.201Z,"26 km SW of Boysun, Uzbekistan",earthquake,3.4,3.5,0.075,17,reviewed,us,us
2022-05-12T07:45:38.293Z,-25.1949,179.2435,523.55,4.7,mb,,65,4.773,1.01,us,us6000hkij,2022-05-12T08:06:49.040Z,"south of the Fiji Islands",earthquake,12.1,6.2,0.033,285,reviewed,us,us
2022-05-12T07:22:12.194Z,-0.0483,123.3861,129.9,5.1,mww,,13,1.162,1,us,us6000hki3,2022-05-12T14:20:11.040Z,"74 km SSE of Gorontalo, Indonesia",earthquake,5.6,4.5,0.057,30,reviewed,us,us
2022-05-12T06:44:49.188Z,-17.7453,-178.4044,586.38,4.5,mb,,124,3.376,0.45,us,us6000hkhz,2022-05-12T07:09:25.040Z,"244 km E of Levuka, Fiji",earthquake,12.6,9.5,0.108,31,reviewed,us,us
2022-05-12T05:34:22.720Z,-14.7118,167.9419,10,4.8,mb,,122,1.021,0.8,us,us6000hkhp,2022-05-12T05:55:42.040Z,"100 km ENE of Port-Olry, Vanuatu",earthquake,7.7,1.9,0.068,66,reviewed,us,us
2022-05-12T02:57:44.741Z,-19.811,-176.8341,301.28,4.8,mb,,127,5.261,0.98,us,us6000hkh3,2022-05-12T04:28:59.040Z,"225 km NW of Nuku‘alofa, Tonga",earthquake,12.3,6.4,0.034,265,reviewed,us,us
2022-05-12T01:01:03.069Z,-28.3607,-67.7942,171.73,4.6,mb,,76,1.926,0.84,us,us6000hkgv,2022-05-12T04:56:03.040Z,"39 km SW of Tinogasta, Argentina",earthquake,8.8,9.3,0.183,9,reviewed,us,us
2022-05-11T22:24:56.679Z,-6.9231,155.1526,10,5.1,mb,,65,4.026,0.58,us,us6000hkgb,2022-05-11T22:42:52.040Z,"76 km SSW of Panguna, Papua New Guinea",earthquake,9.4,1.9,0.048,139,reviewed,us,us
2022-05-11T19:12:55.722Z,5.3918,126.0269,132.03,4.6,mb,,84,1.725,1.1,us,us6000hkf7,2022-05-11T19:29:44.040Z,"62 km E of Sarangani, Philippines",earthquake,8.4,6.6,0.059,87,reviewed,us,us
2022-05-11T17:43:27.555Z,-30.3973,-178.0544,60.15,5.1,mb,,71,1.137,1.05,us,us6000hkeu,2022-05-11T19:36:05.040Z,"Kermadec Islands, New Zealand",earthquake,10.9,4.8,0.053,118,reviewed,us,us
2022-05-11T17:27:41.034Z,4.6815,95.047,54.51,5,mww,,68,4.198,0.67,us,us7000h8nd,2022-05-11T19:42:08.040Z,"100 km SSW of Banda Aceh, Indonesia",earthquake,7.3,4.7,0.098,10,reviewed,us,us
2022-05-11T16:20:11.986Z,3.7496,126.6337,39.44,4.8,mww,,86,3.047,0.66,us,us7000h8n2,2022-05-11T16:42:04.040Z,"224 km SE of Sarangani, Philippines",earthquake,7.8,7.5,0.093,11,reviewed,us,us
2022-05-11T15:21:15.560Z,-21.6893,-70.244,59.98,5,mww,,131,0.49,0.56,us,us7000h8ls,2022-05-11T21:15:53.146Z,"44 km N of Tocopilla, Chile",earthquake,5.6,6.4,0.083,14,reviewed,us,us
2022-05-11T14:20:14.863Z,-15.2203,167.4377,123.44,5.2,mww,,42,0.319,0.85,us,us7000h8li,2022-05-12T13:47:01.040Z,"43 km ESE of Port-Olry, Vanuatu",earthquake,8.3,4.8,0.068,21,reviewed,us,us
2022-05-11T14:08:47.786Z,-6.5152,130.1356,143,4.9,mww,,40,1.859,0.44,us,us7000h8ld,2022-05-11T14:25:45.040Z,"Banda Sea",earthquake,8.3,7.8,0.098,10,reviewed,us,us
2022-05-11T12:15:31.475Z,-29.3196,-68.5253,131.41,4.5,mb,,101,1.514,0.48,us,us7000h8kn,2022-05-11T12:49:49.040Z,"69 km SSW of Vinchina, Argentina",earthquake,6.7,8.1,0.181,10,reviewed,us,us
2022-05-11T11:52:38.988Z,1.2982,124.5344,178.95,4.5,mb,,78,2.879,0.77,us,us7000h8kk,2022-05-11T12:18:05.040Z,"30 km W of Tomohon, Indonesia",earthquake,9,9,0.1,32,reviewed,us,us
2022-05-11T05:28:07.459Z,-20.4741,-177.4276,497.45,4.5,mb,,121,5.062,1.01,us,us7000h8iq,2022-05-11T05:46:25.040Z,"242 km WNW of Haveluloto, Tonga",earthquake,10.7,8,0.036,224,reviewed,us,us
2022-05-11T05:27:40.013Z,38.6075,142.3317,43.1,4.6,mb,,168,2.388,1.03,us,us7000h8ip,2022-05-11T06:56:51.352Z,"74 km SE of Ōfunato, Japan",earthquake,8.2,5.4,0.069,63,reviewed,us,us
2022-05-11T04:33:10.012Z,29.9908,80.4388,21.41,4.9,mb,,105,4.772,0.42,us,us7000h8ii,2022-05-11T23:59:00.262Z,"17 km NNW of Dhārchula, India",earthquake,9.2,2.1,0.045,159,reviewed,us,us
2022-05-11T01:15:57.165Z,-30.582,-179.7393,407.94,4.6,mb,,122,2.055,0.93,us,us7000h8hj,2022-05-11T01:32:52.040Z,"Kermadec Islands region",earthquake,13.3,8.7,0.087,40,reviewed,us,us
2022-05-10T23:18:50.671Z,-55.4239,-28.1486,39.36,5.4,mb,,55,4.952,0.65,us,us7000h8g7,2022-05-11T23:22:12.393Z,"South Sandwich Islands region",earthquake,10.7,7.4,0.068,73,reviewed,us,us
2022-05-10T23:06:32.409Z,-23.5156,-66.6078,220,6.8,mww,,30,1.55,0.93,us,us7000h8g3,2022-05-16T04:09:13.558Z,"83 km NNW of San Antonio de los Cobres, Argentina",earthquake,9.7,1.8,0.062,25,reviewed,us,us
2022-05-10T22:09:19.329Z,-48.3365,165.6618,10,4.5,mb,,127,2.279,1.07,us,us7000h8fx,2022-05-10T22:44:22.040Z,"278 km SW of Bluff, New Zealand",earthquake,5.9,1.9,0.163,12,reviewed,us,us
2022-05-10T21:19:03.459Z,48.809,152.9918,147.94,4.6,mb,,106,5.231,0.74,us,us7000h8fh,2022-05-10T22:01:46.040Z,"Kuril Islands",earthquake,10.4,5.9,0.034,264,reviewed,us,us
2022-05-10T17:39:53.270Z,26.7118,126.4102,24.37,4.5,mb,,68,1.669,0.98,us,us7000h8e9,2022-05-11T14:04:09.040Z,"138 km WNW of Naha, Japan",earthquake,7.3,5.7,0.078,55,reviewed,us,us
2022-05-10T14:14:36.878Z,13.762,120.7631,141.68,4.5,mb,,116,9.488,0.35,us,us7000h8cm,2022-05-17T18:37:09.452Z,"11 km SE of Hukay, Philippines",earthquake,11,7.3,0.077,49,reviewed,us,us
2022-05-10T13:18:11.553Z,-17.2457,167.632,14,5.8,mww,,63,1.835,0.65,us,us7000h8bc,2022-05-17T15:40:37.861Z,"90 km NW of Port-Vila, Vanuatu",earthquake,7.4,1.8,0.059,28,reviewed,us,us
2022-05-10T12:05:55.025Z,-11.1362,161.7049,10,4.9,mww,,41,2.415,0.66,us,us7000h8b3,2022-05-10T20:43:06.040Z,"79 km SSW of Kirakira, Solomon Islands",earthquake,2.9,1.8,0.093,11,reviewed,us,us
2022-05-10T11:45:39.685Z,-38.0094,175.931,296.85,4.6,mb,,72,0.438,0.97,us,us7000h8az,2022-05-10T12:51:39.040Z,"25 km NNE of Tokoroa, New Zealand",earthquake,6.5,6.6,0.272,4,reviewed,us,us
